Carimbo de data/hora,Educational attainment,"Area of study (e.g. Computer Science, Civil engineering)",Professional Experience in Software Development,Current role,Country,"Rate your level of agreement with the following statements. [I have experience with tools that allow the creation of diagrams from terraform code  (e.g. terraform graph, pluralith, rover, inframap, others).]",Rate your level of agreement with the following statements. [I am familiar with the Unified Modeling Language (UML).],Rate your level of agreement with the following statements. [I am familiar with UML component diagrams.],Rate your level of agreement with the following statements. [I am familiar with UML deployment diagrams.],"I think that with Infragenie, it is easy to... [create architectural diagrams.]","I think that with Infragenie, it is easy to... [keep architectural diagrams updated.]","I think that with Infragenie, it is easy to... [keep architectural diagrams consistent with the source-code.]","I think that with Infragenie, it is easy to... [add new information (not inferred from the source-code) to the diagrams.]","I think that with Infragenie, it is easy to... [change the generated architectural diagrams.]","I think that with Infragenie, it is easy to... [verify how changes may impact the architecture (e.g. adding new services, changing network ports, etc.).]",I think that the submitted architecture diagram is... [complete.],I think that Terraform Analyzer is useful to help ensure that architectural documentation is... [consistent.],I think that the submitted architecture diagram is... [precise.],I think that Terraform Analyzer is useful to help ensure that architectural documentation is... [easier to consult.],I think that the submitted architecture diagram is... [easy to understand.],I think that Terraform Analyzer is useful to help ensure that architectural documentation is... [easier to maintain.],I think that Terraform Analyzer is useful to help ensure that architectural documentation is... [easier to update.],"If the architecture diagram was generated after every code change, I think that it would be useful to help to... [plan future changes on the architecture.]","If the architecture diagram was generated after every code change, I think that it would be useful to help to... [understand the impact of changes in the architecture.]","If the architecture diagram was generated after every code change, I think that it would be useful to help to... [be more confident while introducing architectural changes.]","If the architecture diagram was generated after every code change, I think that it would be useful to help to... [implement architectural changes faster.]",I think that the provided diagram shows... [a complete view of the architecture.],I think that the provided diagram shows... [the most relevant elements of the architecture.],"How would you improve this diagram? (you can mention missing elements, different naming, representation, etc) ",The edit capabilities of Terraform Analyzer allow to... [increase the diagram value.],The edit capabilities of Terraform Analyzer allow to... [make the diagram more consistent.],The edit capabilities of Terraform Analyzer allow to... [representing details that were not automatically captured.],"About the edit capabilities of Infragenie, are they useful to increase the diagram value or even to test out changes in the architecture? Let us know what do you think about this feature and how we can improve it.","Before receiving our diagram, did the documentation of your projects include any other architectural diagram(s)?","Rate your level of agreement with the following statements.

I think the new architecture diagram... [is more precise than the existing diagrams]",Why?,"Rate your level of agreement with the following statement.

I am considering to include the generated architecture diagram to my project.",I am considering to ... [use infragenie to visualize and plan changes in the architecture.],I am considering to ... [use Infragenie in new projects.],The submitted architecture diagram would be better if ... [more UML elements were available to use.],The submitted architecture diagram would be better if ... [it wasn't restricted to UML elements.],The submitted architecture diagram would be better if ... [it automatically detected architectural changes (keeping the diagram always updated without manual intervention)],"Leave us your comments. What did you think of the submitted architecture diagram, how did you perceive its usefulness, and what improvements would you suggest?",Rate your level of agreement with the following statements. [I am familiar with Terraform.],,Rate your level of agreement with the following statements. [I am familiar with the repository terraform code],I am familiar with the terraform code in this repository,I think that the provided diagram shows... [is easy to read],I think that the submitted architecture diagram is... [easy to read.],"Rate your level of agreement with the following statements.

I think the new architecture diagram... [is easier to understand than the existing diagrams]","Rate your level of agreement with the following statements.

I think the new architecture diagram... [is more complete than the existing diagrams]","Rate your level of agreement with the following statements.

I think the new architecture diagram... [is easier to read than the existing diagrams]",Rate your level of agreement with the following statements. [I am familiar with the Terraform code in this repository],I think that the submitted architecture diagram is... [the most relevant elements of the architecture.],I think that the provided diagram shows... [Linha 4]
2024/06/26 12:33:27,Some college/university study without earning a degree,Computer Sciense,5 to 9 years,Mid Software Engineer,Poland,Strongly disagree,Strongly disagree,,Strongly disagree,,,,,,,Strongly disagree,,Strongly disagree,,Agree,,,,,,,,,It cointains only 1 lambda,,,,,No,,,Strongly disagree,,,,,,smth doesn't work there,Strongly agree,,,,,Agree,,,,Strongly agree,,
2024/06/26 12:34:52,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",computer science,15 or more,,United Kingdom,Agree,Agree,,Agree,,,,,,,Agree,,Agree,,Agree,,,,,,,,,,,,,,Yes,Disagree,,Neutral,,,,,,"Arch diagram shared is incomplete. It only shows the lambda function, and missing other components like RDS, SNS, SQS, IAM ,etc. Hope these inputs helps",Strongly agree,,,,,Agree,Disagree,Disagree,Disagree,Strongly agree,,
2024/06/26 12:40:20,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Computer science,15 or more,Software engineer,Brazil,Disagree,Agree,,Neutral,,,,,,,Disagree,,Neutral,,Neutral,,,,,,,,,"If possível, Connect the lambda to dynamo given the acls applied",,,,,No,,,Neutral,,,,,,,Neutral,,,,,Neutral,,,,Agree,,
2024/06/26 12:41:12,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Mathematics and Information Technology,5 to 9 years,Software Consultant,Brazil,Agree,Agree,,Agree,,,,,,,Neutral,,Agree,,Agree,,,,,,,,,,,,,,I am not sure,,,Strongly agree,,,,,,,Agree,,,,,Agree,,,,Agree,,
2024/06/26 12:42:38,"Doctoral degree (Ph.D., Ed.D., etc.)",Wireless communications,5 to 9 years,Lead software engineer,Japan,Agree,Strongly agree,,Agree,,,,,,,Strongly disagree,,Strongly disagree,,Agree,,,,,,,,,The most essential element of the terraform code is ECS container and its database application. The submitted diagram omitted the element and thus I disagree the diagram is complete and precise.,,,,,Yes,Strongly Disagree,"My drawio diagram is completely and precisely shows  the whole of my terraform reaources. However, the icons of AWS services are sometimes make confusion the people who are not familiar with AWS.",Neutral,,,,,,Your study is highly interesting and I would like to use it if the tool will be more and more improved. I usually use the icons of AWS when I write design  docs. in my work so that it is more attractive if we could choose the diagram format. ,Strongly agree,,,,,Agree,Neutral,Strongly Disagree,Neutral,Strongly agree,,
2024/06/26 12:43:56,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",DevOps,1 to 4 years,Senior DevOps Engineer,Philippines,Agree,Neutral,,Neutral,,,,,,,Agree,,Agree,,Agree,,,,,,,,,"Terraform has more features, it would be better to make it more complicated. ",,,,,No,,,Agree,,,,,,I haven't seen the diagram. ,Strongly agree,,,,,Agree,,,,Strongly agree,,
2024/06/26 12:47:13,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",ECE,Less than 1 year,DevSecOps,India,Disagree,Disagree,,Disagree,,,,,,,Neutral,,Neutral,,Neutral,,,,,,,,,,,,,,No,,,Agree,,,,,,,Strongly disagree,,,,,Neutral,,,,Strongly disagree,,
2024/06/26 12:50:06,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Electronics and electrical engineering,15 or more,Principal software architect,United Kingdom,Strongly agree,Strongly agree,,Strongly disagree,,,,,,,Disagree,,Agree,,Agree,,,,,,,,,"The generated diagram isn’t useful. I don’t see connections between components. Also, I’d include the Internet Gateway in the diagram. To be honest, “terraform graph” does a better job.",,,,,No,,,Disagree,,,,,,"I wouldn’t replace hand crafted diagrams with generated ones, at least not this one. The time that would be saved from using generated diagrams would not be enough for validating their correctness and manually fixing them.",Strongly agree,,,,,Agree,,,,Strongly agree,,
2024/06/26 12:50:28,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Computer Science,15 or more,DevOps Engineer,Germany,Neutral,Agree,,Agree,,,,,,,Disagree,,Disagree,,Neutral,,,,,,,,,Maybe add all resources managed by the Terraform configuration?,,,,,No,,,Disagree,,,,,,The diagram is incomplete and therefore of limited use only.,Strongly agree,,,,,Neutral,,,,Strongly agree,,
2024/06/26 12:51:32,Some college/university study without earning a degree,Computer Science,15 or more,Software Engineer,United Kingdom,Disagree,Strongly agree,,Strongly agree,,,,,,,Agree,,Neutral,,Agree,,,,,,,,,,,,,,Yes,Disagree,Provides lower level naming which can be useful for maintainers,Agree,,,,,,,Strongly agree,,,,,Agree,Disagree,Neutral,Neutral,Strongly agree,,
2024/06/26 13:13:23,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Software Engineering,10 to 14 years,Consultant,Germany,Neutral,Agree,,Agree,,,,,,,Agree,,Disagree,,Strongly agree,,,,,,,,,"- there's no direction in the link between components - does the line mean ""SQS Triggers Lambda"" or ""Lambda writes to SQS""? Without this, I only have a structural view of the world but can't read anything from the diagram other than ""SQS and Lambda exist and are related somehow""
- I'm wondering if it makes sense to include IAM roles; depending how the diagram will be used, this might be very relevant or not at all
- Terraform type and container seem to be redundant
- Depending how I'm using this diagram, attributes (e.g. CPU, Memory, ...) of the Lambda might be very relevant or not at all

",,,,,No,,,Strongly disagree,,,,,,"already left specific improvements in an earlier section. Overall, IMHO, architecture diagrams are a way to communicate information to an audience - what to include and how to visualise it will depend greatly on what I'm trying to communicate to whom so auto-generated diagrams can always only be a first draft that then needs to be tweaked to be useful",Strongly agree,,,,,Strongly agree,,,,Strongly agree,,
2024/06/26 13:31:51,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Computer Science,Less than 1 year,Cloud Engineer Intern,Canada,Disagree,Agree,,Disagree,,,,,,,Disagree,,Agree,,Agree,,,,,,,,,"It's missing the S3 Buckets and SES instance. I think more attributes in the graph would be useful (e.g. Lambda runtimes might be useful to show in the graph, Read and Write capacity in DynamoDB). ",,,,,Yes,Neutral,"It's just icons of the services, so it's easier to read. It shows the flow of data from the user input to the ""end"" product",Disagree,,,,,,I think it's still missing some details on the graph nodes as mentioned previously. Would be great if the resource attributes can be added.,Strongly agree,,,,,Agree,Agree,Strongly Agree,Agree,Strongly agree,,
2024/06/26 13:35:36,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Electronics,1 to 4 years,N/A,Colombia,Neutral,Neutral,,Neutral,,,,,,,Agree,,Agree,,Agree,,,,,,,,,,,,,,No,,,Strongly agree,,,,,,,Neutral,,,,,Agree,,,,Neutral,,
2024/06/26 13:40:08,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Computer Information Systems,1 to 4 years,Sr Staff Software Engineer,United States,Strongly disagree,Neutral,,Strongly disagree,,,,,,,Strongly disagree,,Strongly disagree,,Strongly disagree,,,,,,,,,,,,,,No,,,Strongly disagree,,,,,,You have one Lambda but no Firehose or CloudWatch,Strongly agree,,,,,Agree,,,,Strongly agree,,
2024/06/26 13:43:24,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Computer Science,5 to 9 years,Senior Software Engeneer,Brazil,Disagree,Agree,,Agree,,,,,,,Agree,,Neutral,,Agree,,,,,,,,,"That's good for me, congrats!",,,,,Yes,Neutral,"Actually I use draw.io to create the same diagrams, but that solution, is fastter. Congrats!",Agree,,,,,,,Strongly agree,,,,,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly agree,,
2024/06/26 13:44:42,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Mathematics and Physics,5 to 9 years,Principal Engineer,United Kingdom,Disagree,Strongly agree,,Agree,,,,,,,Strongly agree,,Strongly agree,,Strongly agree,,,,,,,,,,,,,,Yes,Neutral,Diagram is lacking other important information regarding the modules. ,Neutral,,,,,,The code the diagram is based on is an elementary stack. There are no linkages between the module in the code and hence I am not sure if your software is capable of creating them. ,Agree,,,,,Strongly agree,Disagree,Disagree,Neutral,Strongly agree,,
2024/06/26 13:45:09,"Doctoral degree (Ph.D., Ed.D., etc.)",Industrial Engineering,5 to 9 years,Linux Migration Administrator,United States,Neutral,Disagree,,Disagree,,,,,,,Neutral,,Neutral,,Strongly disagree,,,,,,,,,EventBridge is missing here,,,,,No,,,Agree,,,,,,Complete schematic of the invoming and outgoing flow would be useful,Strongly disagree,,,,,Strongly disagree,,,,Strongly disagree,,
2024/06/26 13:48:10,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Computer Science ,Less than 1 year,Fresher (Just Graduated),India,Disagree,Neutral,,Neutral,,,,,,,Disagree,,Agree,,Agree,,,,,,,,,Display the variables that are there in the variables.tf file to clearer understanding and also if there is a tag name then display the tag name for easier understanding,,,,,No,,,Neutral,,,,,,"The submitted diagram is easy to understand but more info could be added to it to make it useful in understanding the project for new contributions and for reviewing also. Flow of different architectures and variables, connections to each other. More details like for example in the SNS diagram the aws_sns_topic_subscription is connected to which type of platform (gchat, email and other services) for notification would be helpful.",Strongly agree,,,,,Agree,,,,Strongly agree,,
2024/06/26 13:51:39,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Computer Science,1 to 4 years,Senior Operations Engineer,Singapore,Agree,Strongly disagree,,Strongly disagree,,,,,,,Agree,,Agree,,Agree,,,,,,,,,"The diagram is accurate in terms of operational purpose but needs more details in terms of proper presentation, by the way the architecture is actually suitable for minimal data , with big data there are several other AW services that can be used for seamlessly performance.",,,,,Yes,Agree,,Neutral,,,,,,,Agree,,,,,Agree,Agree,Agree,Agree,Agree,,
2024/06/26 14:00:07,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Comp Sci,15 or more,Staff Software Engineer,United States,Agree,Agree,,Agree,,,,,,,Strongly disagree,,Disagree,,Strongly disagree,,,,,,,,,The diagram is woefully incomplete. It's missing most of the resources defined in the code.,,,,,Yes,Strongly Disagree,Compare them for yourself and see!,Strongly disagree,,,,,,Even the included `terraform graph` command would output a better diagram. https://developer.hashicorp.com/terraform/cli/commands/graph,Strongly agree,,,,,Strongly disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly agree,,
2024/06/26 14:05:45,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Computer science,10 to 14 years,DevOps,France,Neutral,Neutral,,Agree,,,,,,,Disagree,,Neutral,,Agree,,,,,,,,,,,,,,No,,,Neutral,,,,,,,Strongly agree,,,,,Agree,,,,Strongly agree,,
2024/06/26 14:31:56,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Information Systems,Less than 1 year,Software Engineer,Singapore,Strongly disagree,Agree,,Disagree,,,,,,,Strongly agree,,Agree,,Strongly agree,,,,,,,,,"not sure how in depth should the generation be, but there are many other modules or terraform types that are not in the diagram",,,,,Yes,Strongly Disagree,"It only covers one part of the whole architecture (the lambda portion), there are many other components in the full architecture",Disagree,,,,,,"it is not as useful as it is not comprehensive. However, it provides a lower level understanding of the code for that component.",Strongly agree,,,,,Strongly agree,Neutral,Strongly Disagree,Neutral,Strongly agree,,
2024/06/26 14:31:58,"Doctoral degree (Ph.D., Ed.D., etc.)",Physics,1 to 4 years,Data Scientist,Spain,Strongly disagree,Strongly disagree,,Strongly disagree,,,,,,,Agree,,Strongly agree,,Strongly agree,,,,,,,,,"I would say that a complete diagram of the architecture should include the network configuration defined in the security groups, although that could be too much detail. In this case the type of traffic allowed on each EC2 instance is different (for example the ddbb EC2 can only be accessed via ssh from outside the VPC and from a specific IP)",,,,,No,,,Agree,,,,,,"Looks cool, it is a simple architecture which consists of the elements represented. The code also defines the security groups and a notifications system using cloudwatch events, sns topic and associated IAM permissions. But I don't know how easy would that be to be represented in a diagram and if the code contains all the information needed.",Agree,,,,,Strongly agree,,,,Strongly agree,,
2024/06/26 14:47:14,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",physics,5 to 9 years,modeller,Canada,Disagree,Disagree,,Disagree,,,,,,,Strongly disagree,,Strongly disagree,,Disagree,,,,,,,,,"there ara lambda function, but none of the rest is generated (ECR, S3, Step function, IAM role)",,,,,No,,,Disagree,,,,,,"Hi! having everything would help as mentioned in a previous comment. Having some logo could also help (Lamdbda logo, S3 logo, ect)",Agree,,,,,Disagree,,,,Strongly agree,,
2024/06/26 15:00:24,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Computer Science,15 or more,Blockchain Software Engineer,Greece,Strongly disagree,Agree,,Neutral,,,,,,,Disagree,,Disagree,,Agree,,,,,,,,,"DB element is missing, ECR is missing, ECS is missing MSK is missing.",,,,,No,,,Disagree,,,,,,"Firstly, it need to be able to display all the elements. That's basic.",Strongly agree,,,,,Agree,,,,Strongly agree,,
2024/06/26 15:20:15,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Computer Science,1 to 4 years,master's student ,Germany,Disagree,Strongly agree,,Neutral,,,,,,,Strongly disagree,,Strongly disagree,,Disagree,,,,,,,,,"show which component triggers what by adding directions to the connections; EventBridge, AutoScalingGroup, API-Gateway, AMI and Launch Template are missing",,,,,Yes,Strongly Disagree,Important parts of the architecture are missing,Agree,,,,,,"It could be useful, but important parts of the architecture are missing and it is not clear how the components interact with each other.",Strongly agree,,,,,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly agree,,
2024/06/26 15:21:23,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Software Engineering,1 to 4 years,DevOps Engineer,Nepal,Disagree,Strongly agree,,Strongly agree,,,,,,,Neutral,,Agree,,Agree,,,,,,,,,Add Output to see the API Gateway URL,,,,,Yes,Agree,It helps to report lambda function and api gateway.,Agree,,,,,,It is helpful because I have never implemented any diagram in any of my terraform code.,Strongly agree,,,,,Agree,Agree,Disagree,Neutral,Strongly agree,,
2024/06/26 15:23:54,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Computer Science,5 to 9 years,Managing IT-Consultant / Cloud Architect,Germany,Neutral,Agree,,Disagree,,,,,,,Strongly disagree,,Strongly disagree,,Neutral,,,,,,,,,Thats not a architecture diagram but only a image with the Lambda Terraform resource.,,,,,No,,,Strongly disagree,,,,,,Not usable,Strongly agree,,,,,Neutral,,,,Strongly agree,,
2024/06/26 16:01:09,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Computer Applications,1 to 4 years,Senior Full stack Engineer,India,Strongly disagree,Strongly agree,,Disagree,,,,,,,Disagree,,Strongly agree,,Strongly agree,,,,,,,,,"The provided diagram has only two entities, rekognition and lambda. But the terraform config in the repository contains more than two services.

IMO, it'd be better to have a flowchart-kinda thing. ",,,,,No,,,Neutral,,,,,,,Strongly agree,,,,,Strongly agree,,,,Strongly agree,,
2024/06/26 16:22:33,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",System engineering,10 to 14 years,"Backend developer l, TL",Colombia,Disagree,Neutral,,Disagree,,,,,,,Agree,,Neutral,,Agree,,,,,,,,,,,,,,I am not sure,,,Agree,,,,,,,Neutral,,,,,Strongly agree,,,,Neutral,,
2024/06/26 16:33:25,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Computer Science,5 to 9 years,Machine Learning Engineer,United States,Neutral,Agree,,Agree,,,,,,,Agree,,Agree,,Strongly agree,,,,,,,,,"Missing entries for ECS, Load Balancer, Route 53, Cloudfront, and S3",,,,,No,,,Disagree,,,,,,It's a start. I like that the relationship between the model status and trigger functions shown. Lots of infra not shown in the diagram.,Strongly agree,,,,,Agree,,,,Strongly agree,,
2024/06/26 17:23:49,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Ingeniería en Sistemas de Información,5 to 9 years,Cloud Engineer ,Mexico,Strongly agree,Neutral,,Neutral,,,,,,,Agree,,Agree,,Agree,,,,,,,,,The project has more resources that are not considered in the new diagram,,,,,Yes,Neutral,The project has more resources that are not considered in the new diagram,Neutral,,,,,,,Strongly agree,,,,,Agree,Neutral,Neutral,Neutral,Strongly agree,,
2024/06/26 17:25:52,Some college/university study without earning a degree,System Engineering,1 to 4 years,Software Developer,Colombia,Disagree,Strongly agree,,Strongly agree,,,,,,,Strongly agree,,Strongly agree,,Strongly agree,,,,,,,,,,,,,,No,,,Strongly agree,,,,,,,Agree,,,,,Strongly agree,,,,Agree,,
2024/06/26 17:38:08,Some college/university study without earning a degree,,15 or more,,France,Strongly disagree,Agree,,Strongly disagree,,,,,,,Neutral,,Neutral,,Neutral,,,,,,,,,,,,,,No,,,Strongly disagree,,,,,,,Disagree,,,,,Neutral,,,,Disagree,,
